68358	2093	5.1	328	294	0.26	0.34
35590	1892	8.01	415	311	1.3	0.79
57538	2106	6.14	309	276	0.38	0.49
76106	3770	14.87	468	336	0.94	0.86
100584	3264	8.43	448	421	0.51	0.31
83226	2069	4.09	398	370	0.65	0.48
69594	2768	8.76	423	282	0.37	0.59
47202	1436	3.48	344	239	0.65	0.78
72740	1870	3.83	310	185	0.27	0.26
84541	3042	8.71	424	247	0.51	0.51
78055	3488	12.41	377	289	0.52	0.58
71294	3446	13.26	372	332	0.56	0.6
96515	4066	13.63	491	385	0.6	0.75
112694	1801	2.29	442	346	0.18	0.38
51120	1467	3.35	265	199	0.19	0.32
45437	1318	3.04	328	218	0.21	0.15
98363	2339	4.43	435	332	0.38	0.37
39502	2043	8.41	291	214	0.46	0.42
99834	2320	4.29	292	257	0.24	0.24
136439	4299	10.78	477	370	0.36	0.39
38641	1478	4.5	364	107	0.29	0.49
127555	4327	11.69	559	385	0.8	0.72
107420	5150	19.65	463	295	0.61	0.61
102871	2836	6.22	395	259	0.56	0.47
77384	2414	6.0	400	331	0.43	0.57
33010	790	1.51	177	148	0.17	0.21
25932	459	0.65	127	85	0.1	0.14
95362	4362	15.88	573	325	0.86	0.82
149005	3739	7.47	530	431	0.43	0.34
36982	1549	5.17	284	183	0.48	0.39
81169	3054	9.15	416	195	0.45	0.37
103549	3834	11.3	384	384	0.77	0.59
146995	6179	20.67	457	446	0.65	0.72
31626	807	1.64	235	117	0.34	0.25
95483	1583	2.09	267	188	0.24	0.22
104971	2951	6.6	280	156	0.2	0.26
27866	1064	3.23	261	164	0.6	0.41
100567	2667	5.63	367	295	0.32	0.37
91395	5762	28.91	609	336	0.83	1.06
106033	2638	5.22	409	229	0.29	0.52
109290	3818	10.62	390	372	0.92	0.68
88875	2443	5.35	308	195	0.35	0.31
87307	3173	9.18	424	353	0.51	0.7
77663	2101	4.53	374	261	0.34	0.29
120152	8363	46.33	456	379	0.89	0.82
138848	3947	8.93	686	480	0.93	1.13
101033	3598	10.2	548	263	0.51	0.56
93543	3917	13.06	578	273	0.48	0.58
25688	1571	7.65	215	180	0.73	0.56
124481	10709	73.33	515	487	1.19	0.78
42236	1446	3.94	277	231	0.29	0.35
75155	1751	3.25	366	311	0.51	0.35
59283	1821	4.45	373	199	0.33	0.42
111137	3521	8.88	443	388	0.57	0.39
45012	1320	3.08	281	255	0.17	0.21
75838	2138	4.8	418	304	0.31	0.38
47987	1557	4.02	289	276	0.3	0.46
114645	4657	15.05	534	498	0.63	0.45
53262	2247	7.55	412	283	0.91	1.01
17575	930	3.92	176	109	0.34	0.41
34734	1201	3.31	286	180	0.24	0.31
60903	2511	8.24	347	264	0.44	0.39
87534	4022	14.71	437	428	0.62	0.58
124128	9912	62.99	461	373	0.86	1.0
32189	871	1.88	206	152	0.34	0.24
112373	6500	29.92	434	409	0.71	0.69
45435	1527	4.09	328	199	0.25	0.31
82868	1950	3.65	407	288	0.26	0.24
65620	3091	11.59	469	291	1.21	0.53
63169	3941	19.57	366	327	0.62	0.8
30414	1631	6.97	360	160	1.2	0.53
65136	2537	7.87	458	269	0.64	1.01
60180	1725	3.94	263	241	0.27	0.21
103109	2835	6.21	369	305	0.46	0.5
74879	2307	5.66	408	267	0.44	0.36
175838	3518	5.6	495	450	0.48	0.15
118345	5911	23.5	525	434	0.88	0.68
108786	6954	35.38	651	328	0.88	0.82
65463	1945	4.6	334	296	0.62	0.77
90825	4138	15.0	448	420	0.78	0.96
13104	713	3.09	153	130	0.23	0.25
94916	4648	18.12	383	367	0.47	0.51
91162	5799	29.36	546	440	1.09	0.78
25730	1065	3.51	209	176	0.22	0.34
71115	2899	9.41	379	308	0.4	0.4
59501	1389	2.58	357	272	0.21	0.61
82566	3090	9.2	423	354	0.45	0.53
103899	3836	11.27	428	266	0.44	0.35
35211	928	1.95	248	191	0.14	0.11
45171	1498	3.95	329	211	0.73	0.29
103233	4384	14.82	497	451	1.01	0.97
94716	3508	10.34	408	342	0.68	0.35
37715	1826	7.04	310	198	0.48	0.47
110276	2612	4.93	462	384	0.26	0.3
131243	6677	27.04	643	564	1.34	1.15
121036	6599	28.64	537	439	0.95	0.86
118408	4035	10.94	570	404	0.39	0.6
46995	2895	14.2	415	236	0.76	0.72
55533	1218	2.13	318	226	0.16	0.18
24211	1696	9.46	212	208	0.56	0.52
38564	1214	3.04	264	215	0.31	0.23
86757	1535	2.16	363	329	0.17	0.16
76558	2457	6.28	331	177	0.37	0.37
74665	1604	2.75	360	320	0.43	0.41
36384	1311	3.76	275	210	0.37	0.34
111819	7304	37.97	500	413	0.95	1.02
50276	2893	13.25	452	421	1.83	1.18
122775	2172	3.06	479	376	0.33	0.41
81916	2893	8.14	417	314	0.67	0.39
102578	2643	5.42	473	332	0.2	0.26
