5324	323	1.56	107	70	0.3	0.23
4079	269	1.42	81	74	0.23	0.3
1912	264	2.92	45	27	0.34	0.38
1126	106	0.81	35	29	0.28	0.18
2999	339	3.06	78	58	0.52	0.68
1905	185	1.44	48	48	0.28	0.3
1768	187	1.59	56	47	0.29	0.3
2823	295	2.47	89	54	0.41	0.48
2097	227	1.97	65	53	0.35	0.54
1336	193	2.22	47	45	0.33	0.39
2362	214	1.55	77	48	0.47	0.29
1372	174	1.76	65	33	0.47	0.46
1165	131	1.17	47	34	0.18	0.32
4403	227	0.93	72	56	0.12	0.16
802	130	1.69	43	29	0.51	0.39
1224	114	0.85	39	27	0.16	0.18
502	83	1.11	29	24	0.42	0.34
5031	373	2.21	102	75	0.35	0.3
3225	264	1.72	69	68	0.28	0.22
3912	447	4.08	85	77	0.48	0.55
1161	128	1.14	41	39	0.2	0.24
7393	467	2.35	124	95	0.25	0.24
6832	449	2.35	108	88	0.24	0.19
2832	121	0.41	40	34	0.1	0.08
4090	337	2.22	88	65	0.29	0.27
1573	203	2.09	51	50	0.32	0.45
5354	449	3.01	103	69	0.44	0.28
2094	189	1.37	58	51	0.27	0.26
3866	321	2.13	79	71	0.22	0.25
5380	855	10.84	112	97	0.98	1.04
4184	508	4.92	102	84	0.87	0.76
4373	678	8.37	111	94	1.27	0.9
1304	283	4.92	85	38	0.64	0.94
3405	344	2.78	77	60	0.58	0.49
5230	339	1.75	83	68	0.18	0.17
2683	160	0.76	50	45	0.17	0.16
4003	260	1.35	70	59	0.24	0.19
1577	279	3.94	83	38	0.56	0.78
1603	283	4.0	84	37	0.52	0.8
8208	446	1.93	109	99	0.38	0.46
3937	313	1.98	75	64	0.3	0.26
2616	210	1.34	54	45	0.28	0.33
2469	259	2.18	58	54	0.42	0.38
2157	197	1.44	58	45	0.23	0.22
3184	181	0.83	56	48	0.24	0.2
5414	731	7.87	115	114	0.8	1.51
2793	182	0.95	53	36	0.18	0.22
3572	271	1.64	87	60	0.33	0.47
4244	684	8.79	85	84	0.83	0.77
2265	218	1.67	64	41	0.29	0.28
3400	297	2.07	83	60	0.27	0.27
7313	465	2.36	121	94	0.32	0.28
4857	501	4.12	109	84	0.62	1.23
2311	192	1.28	54	48	0.22	0.19
1761	175	1.39	70	38	0.26	0.25
2365	254	2.18	59	50	0.43	0.39
2213	250	2.26	86	48	0.72	0.33
1148	186	2.41	58	39	0.6	0.62
3419	274	1.75	77	62	0.28	0.29
742	104	1.17	34	30	0.26	0.33
2095	216	1.77	72	44	0.46	0.3
3818	265	1.47	86	59	0.14	0.14
2172	397	5.78	86	69	0.84	1.71
1057	141	1.51	44	35	0.58	0.27
420	88	1.47	29	23	0.38	0.42
234	60	1.24	21	18	0.64	0.7
3220	297	2.19	96	54	0.26	0.45
736	151	2.49	39	36	0.68	0.99
2036	200	1.58	59	52	0.27	0.23
2834	285	2.29	75	73	0.95	1.39
4610	353	2.16	90	64	0.5	0.34
4044	557	6.12	103	58	0.68	0.95
2203	276	2.76	77	49	0.41	0.47
733	97	1.04	33	30	0.29	0.28
5299	528	4.19	103	82	0.51	0.39
1368	195	2.23	51	43	0.6	0.56
1797	204	1.85	61	43	0.24	0.24
2271	201	1.43	69	50	0.36	0.2
1919	244	2.48	61	49	0.29	0.38
2267	143	0.72	48	36	0.25	0.16
2991	263	1.85	77	57	0.25	0.25
3268	349	2.98	90	33	0.26	0.58
539	97	1.39	34	24	0.37	0.6
1112	179	2.31	55	33	0.42	0.49
806	112	1.25	43	29	0.28	0.29
5237	339	1.75	87	74	0.29	0.18
799	117	1.39	37	35	0.36	0.36
3388	332	2.6	113	52	0.62	0.43
1423	177	1.77	57	41	0.54	0.49
2514	125	0.5	50	28	0.11	0.11
4363	280	1.44	87	74	0.19	0.16
2842	305	2.62	92	52	0.56	0.33
2241	201	1.45	67	46	0.24	0.21
3272	196	0.93	60	42	0.2	0.23
4854	431	3.05	53	41	0.16	0.38
1432	212	2.5	53	40	0.5	0.38
1563	166	1.42	57	43	0.27	0.28
1412	186	1.97	64	37	0.62	0.33
2320	212	1.55	72	51	0.33	0.37
3142	274	1.9	74	63	0.57	0.21
3454	266	1.64	84	59	0.21	0.32
1009	165	2.16	52	34	0.48	0.69
