68358	[299, 224]	2093	5.1	328	294	0.26	0.34
35590	[321, 216]	1892	8.01	415	311	1.3	0.79
57538	[356, 234]	2106	6.14	309	276	0.38	0.49
76106	[292, 306]	3770	14.87	468	336	0.94	0.86
100584	[318, 206]	3264	8.43	448	421	0.51	0.31
83226	[294, 208]	2069	4.09	398	370	0.65	0.48
69594	[320, 164]	2768	8.76	423	282	0.37	0.59
47202	[328, 240]	1436	3.48	344	239	0.65	0.78
72740	[257, 328]	1870	3.83	310	185	0.27	0.26
84541	[201, 289]	3042	8.71	424	247	0.51	0.51
78055	[257, 224]	3488	12.41	377	289	0.52	0.58
71294	[324, 237]	3446	13.26	372	332	0.56	0.6
96515	[302, 247]	4066	13.63	491	385	0.6	0.75
112694	[275, 213]	1801	2.29	442	346	0.18	0.38
51120	[261, 187]	1467	3.35	265	199	0.19	0.32
45437	[290, 206]	1318	3.04	328	218	0.21	0.15
98363	[321, 229]	2339	4.43	435	332	0.38	0.37
39502	[313, 188]	2043	8.41	291	214	0.46	0.42
99834	[300, 223]	2320	4.29	292	257	0.24	0.24
136439	[298, 226]	4299	10.78	477	370	0.36	0.39
38641	[568, 216]	1478	4.5	364	107	0.29	0.49
127555	[460, 168]	4327	11.69	559	385	0.8	0.72
107420	[416, 244]	5150	19.65	463	295	0.61	0.61
102871	[102, 262]	2836	6.22	395	259	0.56	0.47
77384	[413, 203]	2414	6.0	400	331	0.43	0.57
33010	[328, 220]	790	1.51	177	148	0.17	0.21
25932	[313, 186]	459	0.65	127	85	0.1	0.14
95362	[198, 285]	4362	15.88	573	325	0.86	0.82
149005	[293, 229]	3739	7.47	530	431	0.43	0.34
36982	[330, 213]	1549	5.17	284	183	0.48	0.39
81169	[252, 202]	3054	9.15	416	195	0.45	0.37
103549	[95, 186]	3834	11.3	384	384	0.77	0.59
146995	[341, 148]	6179	20.67	457	446	0.65	0.72
31626	[563, 386]	807	1.64	235	117	0.34	0.25
95483	[84, 386]	1583	2.09	267	188	0.24	0.22
104971	[61, 257]	2951	6.6	280	156	0.2	0.26
27866	[277, 219]	1064	3.23	261	164	0.6	0.41
100567	[276, 254]	2667	5.63	367	295	0.32	0.37
91395	[249, 192]	5762	28.91	609	336	0.83	1.06
106033	[541, 261]	2638	5.22	409	229	0.29	0.52
109290	[404, 248]	3818	10.62	390	372	0.92	0.68
88875	[183, 321]	2443	5.35	308	195	0.35	0.31
87307	[276, 257]	3173	9.18	424	353	0.51	0.7
77663	[289, 230]	2101	4.53	374	261	0.34	0.29
120152	[388, 257]	8363	46.33	456	379	0.89	0.82
138848	[268, 127]	3947	8.93	686	480	0.93	1.13
101033	[202, 244]	3598	10.2	548	263	0.51	0.56
93543	[237, 212]	3917	13.06	578	273	0.48	0.58
25688	[260, 281]	1571	7.65	215	180	0.73	0.56
124481	[353, 200]	10709	73.33	515	487	1.19	0.78
42236	[280, 223]	1446	3.94	277	231	0.29	0.35
75155	[301, 222]	1751	3.25	366	311	0.51	0.35
59283	[363, 241]	1821	4.45	373	199	0.33	0.42
111137	[280, 206]	3521	8.88	443	388	0.57	0.39
45012	[303, 207]	1320	3.08	281	255	0.17	0.21
75838	[300, 220]	2138	4.8	418	304	0.31	0.38
47987	[325, 164]	1557	4.02	289	276	0.3	0.46
114645	[231, 193]	4657	15.05	534	498	0.63	0.45
53262	[342, 217]	2247	7.55	412	283	0.91	1.01
17575	[308, 208]	930	3.92	176	109	0.34	0.41
34734	[262, 237]	1201	3.31	286	180	0.24	0.31
60903	[289, 235]	2511	8.24	347	264	0.44	0.39
87534	[300, 193]	4022	14.71	437	428	0.62	0.58
124128	[444, 209]	9912	62.99	461	373	0.86	1.0
32189	[281, 199]	871	1.88	206	152	0.34	0.24
112373	[348, 238]	6500	29.92	434	409	0.71	0.69
45435	[293, 187]	1527	4.09	328	199	0.25	0.31
82868	[288, 223]	1950	3.65	407	288	0.26	0.24
65620	[303, 244]	3091	11.59	469	291	1.21	0.53
63169	[293, 222]	3941	19.57	366	327	0.62	0.8
30414	[291, 238]	1631	6.97	360	160	1.2	0.53
65136	[546, 260]	2537	7.87	458	269	0.64	1.01
60180	[295, 202]	1725	3.94	263	241	0.27	0.21
103109	[152, 274]	2835	6.21	369	305	0.46	0.5
